ABDJN, Абиджан, Кот-д'Ивуар
ABDB, Абу-Даби, Объединенные Арабские Эмираты
ABJ, Абуджа, Нигерия
AGRK, Агарак, Армения
ADSBB, Аддис-Абеба, Эфиопия
ADLD, Аделаида, Австралия
ADLER, Адлер, Россия
ACCR, Аккра, Гана
AKT, Актобе, Казахстан
ALAN, Аланья, Турция
LXNDR, Александрия, Египет
ALIC, Аликанте, Испания
ALM, Алма-Ата, Казахстан
AMST, Амстердам, Нидерланды
ANAPA, Анапа, Россия
ANKR, Анкара, Турция
ANTL, Анталья, Турция
ANTW, Антверпен, Бельгия
ANTR, Антрацит, Украина
ARKH, Архангельск, Россия
ASTN, Астана, Казахстан
ASTRA, Астрахань, Россия
ATH, Афины, Греция
BAKU, Баку, Азербайджан
BALI, Бали, Индонезия
BMK, Бамако, Мали
BNGK, Бангкок, Таиланд
BNJL, Банжул, Гамбия
BAR, Бар, Черногория
BRNL, Барнаул, Россия
BARC, Барселона, Испания
BTM, Батуми, Грузия
BRT, Бейрут, Ливан
BLGR, Белгород, Россия
BEOG, Белград, Сербия
BLK, Белек, Турция
BNDRM, Бенидорм, Испания
BRDNK, Бердянск, Украина
BER, Берлин, Германия
BRMN, Бирмингем, Великобритания
BSHK, Бишкек, Кыргызстан
BBDLS, Бобо-Диуласо, Буркина Фасо
BGT, Богота, Колумбия
BDRM, Бодрум, Турция
BSTN, Бостон, США
BRZVL, Браззавиль, Конго
BRSL, Бразилиа, Бразилия
BRAT, Братислава, Словакия
BREMN, Бремен, Германия
BREST, Брест, Беларусь
BRSB, Брисбен, Австралия
BRNO, Брно, Чехия
BRUS, Брюссель, Бельгия
BRN, Брянск, Россия
BUD, Будапешт, Венгрия
BUDVA, Будва, Черногория
BRGS, Бургас, Болгария
BURS, Бурса, Турция
BHRT, Бухарест, Румыния
BSAS, Буэнос-Айрес, Аргентина
VALEN, Валенсия, Испания
VLLTT, Валлетта, Мальта
VNCVR, Ванкувер, Канада
VARN, Варна, Болгария
WARS, Варшава, Польша
WIEN, Вена, Австрия
VILN, Вильнюс, Литва
VINN, Винница, Украина
VTB, Витебск, Беларусь
VVO, Владивосток, Россия
VLAD, Владимир, Россия
VLGD, Волгоград, Россия
VORON, Воронеж, Россия
WRCL, Вроцлав, Польша
GZP, Газипаша, Турция
HAMB, Гамбург, Германия
HNVR, Ганновер, Германия
GDN, Гданьск, Польша
GLND, Геленджик, Россия
GCST, Голд-Кост, Австралия
GOMEL, Гомель, Беларусь
HGKG, Гонконг, Китай
GRDN, Гродно, Беларусь
GRZ, Грозный, Россия
GUAN, Гуанчжоу, Китай
GUAQ, Гуаякиль, Эквадор
DKR, Дакар, Сенегал
DRSSL, Дар-эс-Салам, Танзания
JDDH, Джедда, Саудовская Аравия
DJRB, Джерба, Тунис
DJBT, Джибути, Джибути
DNPR, Днепр, Украина
DNT, Донецк, Украина
DRTM, Дортмунд, Германия
DOH, Доха, Катар
DRES, Дрезден, Германия
DLA, Дуала, Камерун
DUBAI, Дубай, Объединенные Арабские Эмираты
DUBL, Дублин, Ирландия
DUSH, Душанбе, Таджикистан
DUSS, Дюссельдорф, Германия
EKB, Екатеринбург, Россия
YLTS, Елец, Россия
ERVN, Ереван, Армения
GNV, Женева, Швейцария
RZSZW, Жешув, Польша
ZHYTO, Житомир, Украина
ZGRB, Загреб, Хорватия
ZAP, Запорожье, Украина
IBZ, Ибица, Испания
IVFR, Ивано-Франковск, Украина
IZHV, Ижевск, Россия
IZMR, Измир, Турция
IRK, Иркутск, Россия
ISFHN, Исфахан, Иран
JHNSB, Йоханнесбург, Южно-Африканская Республика
YOLA, Йошкар-Ола, Россия
KZN, Казань, Россия
CAR, Каир, Египет
CLGR, Калгари, Канада
KLNG, Калининград, Россия
